                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5551,                  1.889,                 1.6043,                0.49048,                0.60699,                0.52964,                0.26521,                 1.7169,                 1.8387,                 1.7919,               0.005743,               0.005743,               0.005743
                     46,                 1.5361,                  1.878,                 1.6053,                0.52204,                0.59355,                0.56073,                 0.2691,                 1.7586,                 1.8015,                 1.7817,               0.005644,               0.005644,               0.005644
                     47,                 1.5357,                 1.8878,                 1.5928,                 0.4781,                0.52342,                 0.4749,                0.22402,                 1.8599,                 2.0075,                 1.8941,               0.005545,               0.005545,               0.005545
                     48,                 1.5255,                 1.8467,                  1.579,                0.50342,                0.58437,                0.53263,                0.25776,                  1.778,                 1.8614,                 1.7935,               0.005446,               0.005446,               0.005446
                     49,                 1.5145,                 1.8365,                 1.5953,                0.52932,                0.54638,                0.55654,                0.28496,                 1.7657,                 1.8161,                 1.7921,               0.005347,               0.005347,               0.005347
                     50,                 1.5279,                 1.8575,                 1.5926,                0.58265,                0.57883,                 0.5894,                0.28836,                 1.7571,                 1.7809,                 1.7656,               0.005248,               0.005248,               0.005248
                     51,                 1.5222,                 1.8218,                 1.5821,                0.50391,                0.58651,                 0.5244,                 0.2473,                 1.7954,                 1.8993,                 1.8228,               0.005149,               0.005149,               0.005149
                     52,                 1.5118,                 1.8119,                 1.5792,                0.53196,                0.60631,                 0.5563,                0.28525,                  1.707,                 1.7653,                 1.7508,                0.00505,                0.00505,                0.00505
                     53,                 1.5096,                 1.8254,                 1.5767,                0.52097,                 0.5609,                0.54226,                0.26292,                 1.7877,                 1.7972,                 1.7916,               0.004951,               0.004951,               0.004951
                     54,                 1.4992,                 1.8121,                 1.5638,                 0.5152,                0.62726,                0.56969,                0.27309,                 1.7893,                 1.7994,                 1.7882,               0.004852,               0.004852,               0.004852
                     55,                 1.4998,                 1.8065,                 1.5732,                0.54394,                0.59728,                0.56839,                0.28224,                 1.7512,                 1.7915,                 1.7633,               0.004753,               0.004753,               0.004753
                     56,                 1.4887,                 1.7844,                 1.5512,                0.49057,                0.63066,                0.59747,                0.29952,                 1.7359,                 1.7273,                 1.7686,               0.004654,               0.004654,               0.004654
                     57,                  1.483,                 1.7739,                 1.5518,                0.52674,                0.55383,                0.55412,                0.26511,                 1.8195,                 1.8147,                 1.8142,               0.004555,               0.004555,               0.004555
                     58,                 1.4842,                 1.7722,                  1.551,                0.47906,                0.59393,                0.53829,                 0.2776,                 1.7589,                 1.8006,                 1.7657,               0.004456,               0.004456,               0.004456
                     59,                 1.4686,                 1.7507,                 1.5478,                 0.5706,                0.61445,                0.60638,                 0.3023,                 1.7184,                 1.7192,                 1.7175,               0.004357,               0.004357,               0.004357
                     60,                 1.4764,                 1.7323,                 1.5405,                0.57242,                0.53883,                0.56637,                0.28385,                 1.7816,                 1.8179,                 1.7873,               0.004258,               0.004258,               0.004258
                     61,                 1.4633,                 1.7389,                 1.5325,                0.52396,                0.59942,                0.56788,                0.28594,                 1.7288,                 1.7978,                 1.7682,               0.004159,               0.004159,               0.004159
                     62,                 1.4478,                 1.7249,                 1.5221,                0.56265,                0.60254,                0.58555,                0.28698,                 1.7452,                 1.7249,                 1.7636,                0.00406,                0.00406,                0.00406
                     63,                 1.4568,                  1.711,                 1.5209,                0.54479,                0.58635,                0.59224,                 0.2936,                 1.7749,                 1.7577,                 1.7402,               0.003961,               0.003961,               0.003961
                     64,                 1.4376,                 1.7307,                  1.522,                0.56329,                0.57645,                0.59483,                0.29872,                 1.7535,                 1.7295,                 1.7719,               0.003862,               0.003862,               0.003862
                     65,                 1.4371,                 1.7079,                 1.5137,                0.49399,                0.54459,                0.51623,                0.25653,                 1.8358,                 1.8492,                 1.8463,               0.003763,               0.003763,               0.003763
